"year","month_name","month","country","max_emails_opened","running_total_opened_emails","no_of_customers_who_sent_atleast_one_email"
"2021","September","9","Falkland Islands (Malvinas)","70","828","2"
"2021","October","10","Falkland Islands (Malvinas)","14","842","2"
"2021","November","11","Falkland Islands (Malvinas)","17","859","1"
"2021","December","12","Falkland Islands (Malvinas)","47","906","1"
"2020","July","7","Faroe Islands","39","39","2"
"2020","August","8","Faroe Islands","110","149","2"
"2020","November","11","Faroe Islands","132","281","4"
"2020","December","12","Faroe Islands","6","287","1"
"2021","March","3","Faroe Islands","24","311","1"
"2021","May","5","Faroe Islands","20","331","1"
"2021","September","9","Faroe Islands","2","333","1"
"2021","October","10","Faroe Islands","56","389","2"
"2021","November","11","Faroe Islands","17","406","1"
"2021","May","5","Fiji","4","4","1"
"2020","July","7","Finland","19","19","1"
"2020","August","8","Finland","73","92","2"
"2020","November","11","Finland","161","253","3"
"2020","December","12","Finland","116","369","3"
"2021","February","2","Finland","184","553","1"
"2021","March","3","Finland","171","724","1"
"2021","April","4","Finland","141","865","2"
"2021","August","8","Finland","77","942","2"
"2021","September","9","Finland","16","958","3"
"2021","October","10","Finland","3","961","1"
"2022","January","1","Finland","1","962","1"
"2020","July","7","France","41","41","3"
"2020","November","11","France","101","142","4"
"2021","February","2","France","213","355","1"
"2021","March","3","France","106","461","3"
"2021","April","4","France","9","470","1"
"2021","May","5","France","120","590","3"
"2021","September","9","France","165","755","4"
"2021","December","12","France","11","766","2"
"2020","July","7","French Guiana","32","32","1"
"2020","August","8","French Guiana","500","532","2"
"2020","November","11","French Guiana","76","608","3"
"2020","December","12","French Guiana","23","631","3"
"2021","January","1","French Guiana","500","1131","1"
"2021","February","2","French Guiana","33","1164","1"
"2021","March","3","French Guiana","1","1165","1"
"2021","April","4","French Guiana","17","1182","1"
"2021","May","5","French Guiana","308","1490","1"
"2021","September","9","French Guiana","169","1659","1"
"2021","October","10","French Guiana","25","1684","2"
"2021","November","11","French Guiana","6","1690","1"
"2021","December","12","French Guiana","217","1907","2"
"2020","July","7","French Polynesia","62","62","1"
"2020","August","8","French Polynesia","75","137","1"
"2020","November","11","French Polynesia","155","292","5"
"2020","December","12","French Polynesia","123","415","2"
"2021","February","2","French Polynesia","169","584","1"
"2021","March","3","French Polynesia","23","607","1"
"2021","April","4","French Polynesia","2","609","1"
"2021","May","5","French Polynesia","19","628","1"
"2021","August","8","French Polynesia","190","818","2"
"2021","September","9","French Polynesia","26","844","1"
"2021","October","10","French Polynesia","130","974","1"
"2021","November","11","French Polynesia","221","1195","2"
"2021","December","12","French Polynesia","500","1695","1"
"2022","January","1","French Polynesia","19","1714","1"
"2020","July","7","French Southern Territories","122","122","3"
"2020","November","11","French Southern Territories","56","178","2"
"2020","December","12","French Southern Territories","108","286","4"
"2021","January","1","French Southern Territories","79","365","1"
"2021","March","3","French Southern Territories","8","373","1"
"2021","May","5","French Southern Territories","94","467","2"
"2021","June","6","French Southern Territories","1","468","1"
"2021","August","8","French Southern Territories","1","469","1"
"2021","September","9","French Southern Territories","35","504","2"
"2021","December","12","French Southern Territories","80","584","1"
"2020","July","7","Gabon","163","163","3"
"2020","August","8","Gabon","38","201","2"
"2020","November","11","Gabon","46","247","3"
"2020","December","12","Gabon","40","287","3"
"2021","January","1","Gabon","16","303","1"
"2021","February","2","Gabon","220","523","1"
"2021","March","3","Gabon","500","1023","2"
"2021","April","4","Gabon","122","1145","1"
"2021","May","5","Gabon","65","1210","1"
"2021","August","8","Gabon","16","1226","1"
"2021","September","9","Gabon","91","1317","3"
"2021","October","10","Gabon","76","1393","2"
"2021","November","11","Gabon","40","1433","1"
"2020","July","7","Gambia","12","12","1"
"2020","August","8","Gambia","21","33","1"
"2020","November","11","Gambia","51","84","3"
"2020","December","12","Gambia","44","128","2"
"2021","March","3","Gambia","54","182","3"
"2021","April","4","Gambia","500","682","3"
"2021","May","5","Gambia","500","1182","3"
"2021","June","6","Gambia","8","1190","1"
"2021","September","9","Gambia","41","1231","1"
"2021","October","10","Gambia","13","1244","2"
"2021","November","11","Gambia","2","1246","1"
"2021","December","12","Gambia","4","1250","3"
"2020","July","7","Georgia","125","125","3"
"2020","August","8","Georgia","29","154","2"
"2020","November","11","Georgia","27","181","3"
"2020","December","12","Georgia","143","324","2"
"2021","January","1","Georgia","37","361","1"
"2021","February","2","Georgia","2","363","1"
"2021","April","4","Georgia","217","580","1"
"2021","May","5","Georgia","6","586","1"
"2021","July","7","Georgia","12","598","1"
"2021","August","8","Georgia","26","624","1"
"2021","September","9","Georgia","130","754","3"
"2021","October","10","Georgia","68","822","1"
"2021","November","11","Georgia","47","869","1"
"2021","December","12","Georgia","191","1060","1"
"2020","July","7","Germany","51","51","1"
"2020","November","11","Germany","24","75","2"
"2021","April","4","Germany","62","137","2"
"2021","May","5","Germany","142","279","2"
"2021","September","9","Germany","53","332","1"
"2021","November","11","Germany","32","364","1"
"2021","December","12","Germany","80","444","1"
"2020","September","9","Ghana","23","23","1"
"2020","November","11","Ghana","22","45","2"
"2020","December","12","Ghana","58","103","2"
"2021","January","1","Ghana","135","238","1"
"2021","March","3","Ghana","112","350","3"
"2021","April","4","Ghana","41","391","2"
"2021","May","5","Ghana","133","524","1"
"2021","August","8","Ghana","79","603","1"
"2021","October","10","Ghana","111","714","2"
"2020","December","12","Gibraltar","102","102","3"
"2021","February","2","Gibraltar","23","125","1"
"2021","April","4","Gibraltar","33","158","2"
"2021","May","5","Gibraltar","83","241","2"
"2021","August","8","Gibraltar","25","266","1"
"2021","October","10","Gibraltar","62","328","1"
"2021","December","12","Gibraltar","181","509","2"
"2020","July","7","Greece","37","37","1"
"2020","August","8","Greece","319","356","3"
"2020","November","11","Greece","441","797","2"
"2020","December","12","Greece","81","878","2"
"2021","March","3","Greece","105","983","3"
"2021","April","4","Greece","32","1015","2"
"2021","May","5","Greece","313","1328","4"
"2021","August","8","Greece","22","1350","2"
"2021","September","9","Greece","115","1465","1"
"2021","October","10","Greece","98","1563","1"
"2021","November","11","Greece","1","1564","1"
"2020","July","7","Greenland","98","98","2"
"2020","August","8","Greenland","42","140","1"
"2020","November","11","Greenland","77","217","3"
"2020","December","12","Greenland","166","383","2"
"2021","January","1","Greenland","18","401","1"
"2021","March","3","Greenland","176","577","1"
"2021","May","5","Greenland","3","580","2"
"2021","August","8","Greenland","10","590","1"
"2021","September","9","Greenland","25","615","1"
"2021","November","11","Greenland","1","616","1"
"2020","July","7","Grenada","36","36","2"
"2020","November","11","Grenada","55","91","1"
"2020","December","12","Grenada","500","591","2"
"2021","January","1","Grenada","236","827","2"
"2021","February","2","Grenada","21","848","1"
"2021","March","3","Grenada","29","877","2"
"2021","April","4","Grenada","106","983","2"
"2021","May","5","Grenada","113","1096","1"
"2021","June","6","Grenada","102","1198","1"
"2021","September","9","Grenada","196","1394","2"
"2021","October","10","Grenada","88","1482","1"
"2020","July","7","Guadeloupe","62","62","3"
"2020","August","8","Guadeloupe","112","174","2"
"2020","September","9","Guadeloupe","500","674","1"
"2020","November","11","Guadeloupe","88","762","4"
"2020","December","12","Guadeloupe","24","786","1"
"2021","February","2","Guadeloupe","158","944","3"
"2021","March","3","Guadeloupe","74","1018","3"
"2021","April","4","Guadeloupe","240","1258","2"
"2021","May","5","Guadeloupe","34","1292","5"
"2021","August","8","Guadeloupe","65","1357","3"
"2021","September","9","Guadeloupe","97","1454","2"
"2021","October","10","Guadeloupe","55","1509","1"
"2021","November","11","Guadeloupe","203","1712","2"
"2021","December","12","Guadeloupe","64","1776","1"
"2020","July","7","Guam","101","101","3"
"2020","November","11","Guam","500","601","3"
"2020","December","12","Guam","353","954","2"
"2021","March","3","Guam","10","964","1"
"2021","April","4","Guam","217","1181","2"
"2021","September","9","Guam","3","1184","1"
"2021","November","11","Guam","35","1219","1"
"2021","December","12","Guam","90","1309","1"
"2020","July","7","Guatemala","112","112","2"
"2020","August","8","Guatemala","65","177","4"
"2020","September","9","Guatemala","1","178","1"
"2020","November","11","Guatemala","124","302","5"
"2020","December","12","Guatemala","497","799","3"
"2021","January","1","Guatemala","200","999","1"
"2021","February","2","Guatemala","1","1000","1"
"2021","March","3","Guatemala","249","1249","3"
"2021","April","4","Guatemala","135","1384","5"
"2021","May","5","Guatemala","156","1540","2"
"2021","August","8","Guatemala","61","1601","2"
"2021","September","9","Guatemala","1","1602","1"
"2021","October","10","Guatemala","482","2084","1"
"2021","November","11","Guatemala","5","2089","2"
"2021","December","12","Guatemala","113","2202","3"
"2020","July","7","Guernsey","145","145","1"
"2020","November","11","Guernsey","121","266","2"
"2021","April","4","Guernsey","242","508","3"
"2021","May","5","Guernsey","424","932","2"
"2021","September","9","Guernsey","1","933","1"
"2021","October","10","Guernsey","20","953","2"
"2021","November","11","Guernsey","50","1003","1"
"2021","December","12","Guernsey","66","1069","1"
"2020","July","7","Guinea","27","27","1"
"2020","August","8","Guinea","73","100","1"
"2020","November","11","Guinea","35","135","2"
"2020","December","12","Guinea","18","153","1"
"2021","January","1","Guinea","29","182","1"
"2021","February","2","Guinea","110","292","1"
"2021","March","3","Guinea","32","324","1"
"2021","May","5","Guinea","18","342","3"
"2021","November","11","Guinea","6","348","1"
"2020","November","11","Guinea-Bissau","19","19","1"
"2020","December","12","Guinea-Bissau","35","54","1"
"2021","February","2","Guinea-Bissau","64","118","1"
"2020","July","7","Guyana","3","3","1"
"2020","August","8","Guyana","24","27","1"
"2020","September","9","Guyana","173","200","1"
"2020","November","11","Guyana","237","437","2"
"2020","December","12","Guyana","163","600","2"
"2021","February","2","Guyana","165","765","1"
"2021","March","3","Guyana","142","907","1"
"2021","May","5","Guyana","1","908","1"
"2021","September","9","Guyana","3","911","2"
"2021","October","10","Guyana","500","1411","2"
"2021","December","12","Guyana","8","1419","1"
"2020","July","7","Haiti","10","10","1"
"2020","November","11","Haiti","73","83","3"
"2020","December","12","Haiti","349","432","2"
"2021","February","2","Haiti","27","459","1"
"2021","March","3","Haiti","41","500","1"
"2021","April","4","Haiti","76","576","1"
"2021","May","5","Haiti","300","876","3"
"2021","August","8","Haiti","4","880","1"
"2021","September","9","Haiti","17","897","1"
"2021","October","10","Haiti","28","925","2"
"2021","November","11","Haiti","259","1184","1"
"2020","July","7","Heard Island and McDonald Islands","13","13","1"
"2020","November","11","Heard Island and McDonald Islands","22","35","1"
"2020","December","12","Heard Island and McDonald Islands","16","51","1"
"2021","August","8","Heard Island and McDonald Islands","103","154","1"
"2021","November","11","Heard Island and McDonald Islands","169","323","1"
"2021","December","12","Heard Island and McDonald Islands","13","336","1"
"2020","July","7","Holy See (Vatican City State)","346","346","1"
"2020","November","11","Holy See (Vatican City State)","119","465","2"
"2020","December","12","Holy See (Vatican City State)","1","466","1"
"2021","April","4","Holy See (Vatican City State)","22","488","1"
"2021","May","5","Holy See (Vatican City State)","2","490","1"
"2021","September","9","Holy See (Vatican City State)","64","554","1"
"2021","November","11","Holy See (Vatican City State)","59","613","1"
"2021","December","12","Holy See (Vatican City State)","500","1113","2"
"2020","July","7","Honduras","10","10","1"
"2020","October","10","Honduras","72","82","1"
"2020","November","11","Honduras","26","108","1"
"2020","December","12","Honduras","81","189","1"
"2021","February","2","Honduras","29","218","1"
"2021","April","4","Honduras","109","327","1"
"2021","May","5","Honduras","116","443","2"
"2021","October","10","Honduras","14","457","1"
"2020","November","11","Hong Kong","19","19","1"
"2020","December","12","Hong Kong","118","137","1"
"2021","April","4","Hong Kong","294","431","2"
"2021","May","5","Hong Kong","70","501","2"
"2021","June","6","Hong Kong","12","513","1"
"2021","July","7","Hong Kong","213","726","1"
"2021","September","9","Hong Kong","8","734","1"
"2021","October","10","Hong Kong","20","754","1"
"2021","November","11","Hong Kong","241","995","1"
"2021","December","12","Hong Kong","203","1198","3"
"2020","August","8","Hungary","108","108","2"
"2020","November","11","Hungary","1","109","1"
"2020","December","12","Hungary","60","169","3"
"2021","February","2","Hungary","3","172","1"
"2021","March","3","Hungary","227","399","3"
"2021","April","4","Hungary","25","424","1"
"2021","May","5","Hungary","23","447","1"
"2021","August","8","Hungary","1","448","1"
"2021","September","9","Hungary","2","450","1"
"2021","October","10","Hungary","360","810","3"
"2021","November","11","Hungary","398","1208","1"
"2021","December","12","Hungary","29","1237","3"
"2020","July","7","Iceland","224","224","1"
"2020","August","8","Iceland","44","268","1"
"2020","September","9","Iceland","9","277","1"
"2020","November","11","Iceland","272","549","1"
"2020","December","12","Iceland","45","594","2"
"2021","March","3","Iceland","7","601","1"
"2021","April","4","Iceland","184","785","2"
"2021","May","5","Iceland","315","1100","2"
"2021","June","6","Iceland","32","1132","1"
"2021","August","8","Iceland","500","1632","1"
"2021","September","9","Iceland","24","1656","2"
"2020","July","7","India","39","39","1"
"2020","November","11","India","132","171","1"
"2020","December","12","India","221","392","2"
"2021","February","2","India","5","397","1"
"2021","March","3","India","47","444","1"
"2021","April","4","India","269","713","2"
"2021","May","5","India","32","745","1"
"2021","August","8","India","19","764","1"
"2021","September","9","India","58","822","1"
"2021","October","10","India","18","840","2"
"2021","December","12","India","22","862","1"
"2020","August","8","Indonesia","32","32","1"
"2020","November","11","Indonesia","12","44","2"
"2020","December","12","Indonesia","17","61","1"
"2021","March","3","Indonesia","15","76","1"
"2021","April","4","Indonesia","178","254","2"
"2021","May","5","Indonesia","70","324","1"
"2021","August","8","Indonesia","10","334","1"
"2021","November","11","Indonesia","109","443","1"
"2021","December","12","Indonesia","172","615","2"
"2020","July","7","Iran","46","46","2"
"2020","August","8","Iran","109","155","2"
"2020","November","11","Iran","108","263","2"
"2020","December","12","Iran","500","763","1"
"2021","March","3","Iran","4","767","1"
"2021","May","5","Iran","363","1130","2"
"2021","June","6","Iran","38","1168","1"
"2021","July","7","Iran","53","1221","2"
"2021","October","10","Iran","3","1224","1"
"2021","November","11","Iran","63","1287","1"
"2020","July","7","Iraq","13","13","1"
"2020","August","8","Iraq","53","66","1"
"2020","November","11","Iraq","76","142","2"
"2020","December","12","Iraq","83","225","1"
"2021","March","3","Iraq","1","226","1"
"2021","May","5","Iraq","2","228","1"
"2021","August","8","Iraq","3","231","1"
"2021","October","10","Iraq","43","274","1"
"2020","July","7","Ireland","8","8","1"
"2020","August","8","Ireland","157","165","2"
"2020","September","9","Ireland","196","361","1"
"2020","November","11","Ireland","51","412","3"
"2020","December","12","Ireland","16","428","2"
"2021","February","2","Ireland","29","457","1"
"2021","March","3","Ireland","43","500","1"
"2021","April","4","Ireland","500","1000","4"
"2021","May","5","Ireland","15","1015","1"
"2021","August","8","Ireland","74","1089","1"
"2021","September","9","Ireland","145","1234","3"
"2021","October","10","Ireland","34","1268","1"
"2021","December","12","Ireland","102","1370","3"
"2020","July","7","Isle of Man","47","47","2"
"2020","August","8","Isle of Man","180","227","2"
"2020","September","9","Isle of Man","41","268","1"
"2020","November","11","Isle of Man","127","395","6"
"2020","December","12","Isle of Man","84","479","2"
"2021","March","3","Isle of Man","26","505","2"
"2021","May","5","Isle of Man","38","543","2"
"2021","September","9","Isle of Man","11","554","1"
"2021","October","10","Isle of Man","500","1054","3"
"2021","December","12","Isle of Man","18","1072","1"
"2020","July","7","Israel","105","105","2"
"2020","August","8","Israel","98","203","2"
"2020","September","9","Israel","20","223","1"
"2020","November","11","Israel","500","723","5"
"2020","December","12","Israel","355","1078","4"
"2021","March","3","Israel","500","1578","2"
"2021","May","5","Israel","21","1599","3"
"2021","September","9","Israel","500","2099","2"
"2021","October","10","Israel","155","2254","3"
"2021","November","11","Israel","51","2305","2"
"2021","December","12","Israel","130","2435","1"
"2020","July","7","Italy","10","10","1"
"2020","October","10","Italy","43","53","1"
"2020","November","11","Italy","73","126","2"
"2020","December","12","Italy","92","218","1"
"2021","January","1","Italy","17","235","1"
"2021","February","2","Italy","83","318","1"
"2021","May","5","Italy","1","319","1"
"2021","September","9","Italy","19","338","1"
"2021","November","11","Italy","20","358","1"
"2021","December","12","Italy","81","439","1"
"2020","July","7","Jamaica","17","17","1"
"2020","August","8","Jamaica","58","75","4"
"2020","November","11","Jamaica","31","106","2"
"2020","December","12","Jamaica","20","126","2"
"2021","March","3","Jamaica","307","433","3"
"2021","April","4","Jamaica","136","569","4"
"2021","May","5","Jamaica","247","816","2"
"2021","August","8","Jamaica","101","917","1"
"2021","September","9","Jamaica","500","1417","1"
"2021","November","11","Jamaica","3","1420","1"
"2021","December","12","Jamaica","33","1453","1"
"2020","November","11","Japan","88","88","2"
"2021","March","3","Japan","27","115","1"
"2021","May","5","Japan","1","116","1"
"2021","August","8","Japan","72","188","1"
"2021","November","11","Japan","78","266","1"
"2020","July","7","Jersey","266","266","1"
"2020","November","11","Jersey","91","357","2"
"2020","December","12","Jersey","133","490","2"
"2021","May","5","Jersey","98","588","2"
"2021","September","9","Jersey","44","632","1"
"2021","December","12","Jersey","129","761","1"
"2020","July","7","Jordan","80","80","1"
"2020","November","11","Jordan","61","141","3"
"2020","December","12","Jordan","288","429","2"
"2021","January","1","Jordan","237","666","1"
"2021","February","2","Jordan","40","706","1"
"2021","March","3","Jordan","170","876","1"
"2021","April","4","Jordan","71","947","1"
"2021","May","5","Jordan","11","958","1"
"2021","September","9","Jordan","24","982","3"
"2021","October","10","Jordan","1","983","1"
"2021","November","11","Jordan","9","992","2"
"2021","December","12","Jordan","24","1016","1"
"2020","August","8","Kazakhstan","46","46","1"
"2020","December","12","Kazakhstan","1","47","1"
"2021","February","2","Kazakhstan","2","49","1"
"2021","April","4","Kazakhstan","245","294","1"
"2021","May","5","Kazakhstan","48","342","1"
"2021","September","9","Kazakhstan","18","360","1"
"2020","July","7","Kenya","341","341","2"
"2020","November","11","Kenya","52","393","1"
"2020","December","12","Kenya","20","413","1"
"2021","January","1","Kenya","4","417","1"
"2021","March","3","Kenya","37","454","2"
"2021","April","4","Kenya","2","456","1"
"2021","May","5","Kenya","43","499","2"
"2021","August","8","Kenya","175","674","2"
"2021","October","10","Kenya","43","717","1"
"2021","December","12","Kenya","94","811","1"
"2020","July","7","Kiribati","16","16","3"
"2020","November","11","Kiribati","34","50","2"
"2020","December","12","Kiribati","339","389","2"
"2021","January","1","Kiribati","500","889","1"
"2021","March","3","Kiribati","172","1061","1"
"2021","April","4","Kiribati","49","1110","2"
"2021","May","5","Kiribati","99","1209","1"
"2021","September","9","Kiribati","59","1268","1"
"2021","October","10","Kiribati","11","1279","1"
"2021","November","11","Kiribati","90","1369","2"
"2020","November","11","Kuwait","15","15","2"
"2020","December","12","Kuwait","63","78","2"
"2021","April","4","Kuwait","41","119","1"
"2021","October","10","Kuwait","17","136","2"
"2021","November","11","Kuwait","39","175","1"
"2021","December","12","Kuwait","9","184","1"
"2020","July","7","Kyrgyz Republic","2","2","1"
"2020","August","8","Kyrgyz Republic","15","17","1"
"2020","November","11","Kyrgyz Republic","229","246","2"
"2020","December","12","Kyrgyz Republic","4","250","1"
"2021","February","2","Kyrgyz Republic","101","351","1"
"2021","March","3","Kyrgyz Republic","65","416","1"
"2021","May","5","Kyrgyz Republic","190","606","3"
"2021","October","10","Kyrgyz Republic","7","613","2"
"2021","December","12","Kyrgyz Republic","23","636","1"
"2020","July","7","Lao People's Democratic Republic","64","64","1"
"2020","December","12","Lao People's Democratic Republic","500","564","2"
"2021","February","2","Lao People's Democratic Republic","44","608","1"
"2021","March","3","Lao People's Democratic Republic","13","621","1"
"2021","April","4","Lao People's Democratic Republic","1","622","1"
"2021","September","9","Lao People's Democratic Republic","9","631","1"
"2021","November","11","Lao People's Democratic Republic","7","638","1"
"2021","December","12","Lao People's Democratic Republic","1","639","1"
"2020","July","7","Latvia","48","48","1"
"2020","August","8","Latvia","33","81","1"
"2020","December","12","Latvia","34","115","1"
"2021","February","2","Latvia","3","118","1"
"2021","June","6","Latvia","1","119","1"
"2021","August","8","Latvia","2","121","1"
"2021","September","9","Latvia","17","138","1"
"2020","August","8","Lebanon","10","10","1"
"2021","January","1","Lebanon","9","19","1"
"2021","May","5","Lebanon","6","25","1"
"2021","October","10","Lebanon","374","399","2"
"2021","November","11","Lebanon","21","420","2"
"2021","December","12","Lebanon","23","443","1"
"2020","August","8","Lesotho","158","158","1"
"2020","December","12","Lesotho","6","164","1"
"2021","March","3","Lesotho","123","287","1"
"2021","May","5","Lesotho","10","297","2"
"2021","September","9","Lesotho","17","314","1"
"2021","October","10","Lesotho","1","315","1"
"2021","November","11","Lesotho","89","404","1"
"2020","July","7","Liberia","10","10","2"
"2020","August","8","Liberia","33","43","4"
"2020","September","9","Liberia","6","49","1"
"2020","November","11","Liberia","67","116","3"
"2020","December","12","Liberia","11","127","2"
"2021","January","1","Liberia","30","157","1"
"2021","March","3","Liberia","107","264","2"
"2021","April","4","Liberia","455","719","2"
"2021","May","5","Liberia","60","779","3"
"2021","August","8","Liberia","31","810","1"
"2021","September","9","Liberia","102","912","3"
"2021","October","10","Liberia","38","950","1"
"2021","December","12","Liberia","69","1019","3"
"2020","July","7","Libyan Arab Jamahiriya","136","136","2"
"2020","August","8","Libyan Arab Jamahiriya","251","387","2"
"2020","November","11","Libyan Arab Jamahiriya","80","467","2"
"2020","December","12","Libyan Arab Jamahiriya","152","619","3"
"2021","March","3","Libyan Arab Jamahiriya","82","701","1"
"2021","April","4","Libyan Arab Jamahiriya","105","806","2"
"2021","May","5","Libyan Arab Jamahiriya","36","842","2"
"2021","June","6","Libyan Arab Jamahiriya","191","1033","2"
"2021","July","7","Libyan Arab Jamahiriya","131","1164","2"
"2021","August","8","Libyan Arab Jamahiriya","8","1172","2"
"2021","November","11","Libyan Arab Jamahiriya","83","1255","2"
"2021","December","12","Libyan Arab Jamahiriya","151","1406","2"
"2020","July","7","Liechtenstein","36","36","1"
"2020","August","8","Liechtenstein","108","144","2"
"2020","September","9","Liechtenstein","89","233","1"
"2020","November","11","Liechtenstein","65","298","3"
"2020","December","12","Liechtenstein","45","343","1"
"2021","March","3","Liechtenstein","11","354","1"
"2021","May","5","Liechtenstein","33","387","3"
"2021","June","6","Liechtenstein","29","416","2"
"2021","September","9","Liechtenstein","148","564","1"
"2021","December","12","Liechtenstein","73","637","1"
"2020","July","7","Lithuania","16","16","1"
"2020","August","8","Lithuania","88","104","2"
"2020","November","11","Lithuania","152","256","4"
"2020","December","12","Lithuania","56","312","3"
"2021","February","2","Lithuania","7","319","1"
"2021","April","4","Lithuania","500","819","2"
"2021","May","5","Lithuania","44","863","4"
"2021","August","8","Lithuania","44","907","2"
"2021","September","9","Lithuania","13","920","1"
"2021","October","10","Lithuania","50","970","1"
"2021","December","12","Lithuania","229","1199","3"
"2020","December","12","Luxembourg","1","1","1"
"2021","January","1","Luxembourg","169","170","1"
"2021","May","5","Luxembourg","500","670","2"
"2021","October","10","Luxembourg","78","748","1"
"2021","December","12","Luxembourg","21","769","1"
"2020","November","11","Macao","22","22","1"
"2020","December","12","Macao","56","78","1"
"2021","April","4","Macao","96","174","2"
"2021","October","10","Macao","53","227","1"
"2020","July","7","Macedonia","15","15","1"
"2020","August","8","Macedonia","27","42","1"
"2020","November","11","Macedonia","107","149","4"
"2020","December","12","Macedonia","7","156","3"
"2021","February","2","Macedonia","150","306","2"
"2021","April","4","Macedonia","18","324","3"
"2021","May","5","Macedonia","9","333","1"
"2021","June","6","Macedonia","93","426","1"
"2021","July","7","Macedonia","75","501","1"
"2021","August","8","Macedonia","40","541","2"
"2021","September","9","Macedonia","13","554","2"
"2021","October","10","Macedonia","73","627","1"
"2021","November","11","Macedonia","84","711","1"
"2022","January","1","Macedonia","14","725","1"
"2020","July","7","Madagascar","150","150","1"
"2020","August","8","Madagascar","1","151","1"
"2020","November","11","Madagascar","300","451","2"
"2020","December","12","Madagascar","2","453","2"
"2021","April","4","Madagascar","23","476","1"
"2021","August","8","Madagascar","5","481","1"
"2021","September","9","Madagascar","5","486","1"
"2021","October","10","Madagascar","30","516","1"
"2020","July","7","Malawi","248","248","4"
"2020","August","8","Malawi","135","383","4"
"2020","November","11","Malawi","67","450","2"
"2020","December","12","Malawi","177","627","3"
"2021","March","3","Malawi","70","697","4"
"2021","April","4","Malawi","24","721","2"
"2021","May","5","Malawi","48","769","3"
"2021","August","8","Malawi","236","1005","3"
"2021","September","9","Malawi","52","1057","2"
"2021","October","10","Malawi","34","1091","1"
"2021","November","11","Malawi","47","1138","1"
"2021","December","12","Malawi","93","1231","3"
"2020","July","7","Malaysia","23","23","1"
"2020","August","8","Malaysia","57","80","1"
"2020","December","12","Malaysia","41","121","1"
"2021","January","1","Malaysia","4","125","1"
"2021","February","2","Malaysia","340","465","1"
"2021","March","3","Malaysia","12","477","2"
"2021","April","4","Malaysia","2","479","2"
"2021","May","5","Malaysia","17","496","1"
"2021","July","7","Malaysia","8","504","1"
"2021","August","8","Malaysia","2","506","1"
"2021","October","10","Malaysia","4","510","1"
"2021","November","11","Malaysia","6","516","1"
"2021","December","12","Malaysia","18","534","1"
"2020","November","11","Maldives","265","265","1"
"2020","December","12","Maldives","36","301","1"
"2021","March","3","Maldives","8","309","1"
"2021","April","4","Maldives","29","338","1"
"2021","September","9","Maldives","25","363","1"
"2020","July","7","Mali","52","52","1"
"2020","August","8","Mali","1","53","1"
"2020","November","11","Mali","13","66","1"
"2021","February","2","Mali","3","69","1"
"2021","May","5","Mali","36","105","1"
"2021","October","10","Mali","491","596","1"
"2021","December","12","Mali","38","634","1"
"2020","July","7","Malta","42","42","1"
"2020","November","11","Malta","261","303","1"
"2021","March","3","Malta","27","330","2"
"2021","April","4","Malta","20","350","2"
"2021","May","5","Malta","169","519","1"
"2021","August","8","Malta","19","538","2"
"2021","September","9","Malta","1","539","1"
"2021","December","12","Malta","91","630","4"
"2020","July","7","Marshall Islands","11","11","2"
"2020","August","8","Marshall Islands","100","111","3"
"2020","November","11","Marshall Islands","127","238","3"
"2020","December","12","Marshall Islands","4","242","1"
"2021","January","1","Marshall Islands","14","256","1"
"2021","February","2","Marshall Islands","6","262","1"
"2021","April","4","Marshall Islands","25","287","1"
"2021","July","7","Marshall Islands","56","343","1"
"2021","October","10","Marshall Islands","12","355","1"
"2020","July","7","Martinique","45","45","1"
"2020","August","8","Martinique","27","72","2"
"2020","November","11","Martinique","55","127","1"
"2020","December","12","Martinique","16","143","1"
"2021","February","2","Martinique","15","158","2"
"2021","March","3","Martinique","213","371","3"
"2021","April","4","Martinique","45","416","2"
"2021","May","5","Martinique","10","426","2"
"2021","August","8","Martinique","20","446","2"
"2021","September","9","Martinique","3","449","2"
"2021","October","10","Martinique","31","480","2"
"2020","July","7","Mauritania","36","36","2"
"2020","August","8","Mauritania","70","106","1"
"2020","November","11","Mauritania","129","235","3"
"2020","December","12","Mauritania","1","236","1"
"2021","January","1","Mauritania","15","251","1"
"2021","February","2","Mauritania","8","259","1"
"2021","March","3","Mauritania","101","360","1"
"2021","April","4","Mauritania","2","362","1"
"2021","July","7","Mauritania","61","423","1"
"2021","August","8","Mauritania","195","618","1"
"2021","November","11","Mauritania","39","657","1"
"2021","December","12","Mauritania","90","747","2"
"2020","August","8","Mauritius","56","56","2"
"2020","November","11","Mauritius","24","80","2"
"2020","December","12","Mauritius","13","93","2"
"2021","January","1","Mauritius","110","203","1"
"2021","February","2","Mauritius","28","231","1"
"2021","April","4","Mauritius","19","250","1"
"2021","May","5","Mauritius","266","516","3"
"2021","August","8","Mauritius","8","524","1"
"2021","September","9","Mauritius","107","631","1"
"2021","October","10","Mauritius","81","712","1"
"2020","November","11","Mayotte","1","1","1"
"2021","April","4","Mayotte","32","33","2"
"2021","August","8","Mayotte","330","363","1"
"2021","November","11","Mayotte","2","365","1"
"2020","July","7","Mexico","22","22","1"
"2020","November","11","Mexico","107","129","2"
"2020","December","12","Mexico","61","190","1"
"2021","January","1","Mexico","54","244","1"
"2021","February","2","Mexico","32","276","2"
"2021","March","3","Mexico","7","283","1"
